id,cid,name,description,language
89631139,4007,青眼白龙,以高攻击力著称的传说之龙。任何对手都能粉碎，其破坏力不可估量。,cn
15025844,4008,圣精灵,虽然是纤弱的精灵，但以神圣力量护身有很强的守备。,cn
76184692,4009,独眼巨人,一只眼的巨人。会用粗壮的双臂攻过来。必须注意。,cn
88819587,4010,宝贝龙,不可轻视的幼龙，说不定隐藏着什么力量。,cn
15303296,4011,石像怪,假装是石像，从黑暗中攻击。逃跑速度也很快。,cn
41392891,4012,小精怪,喜欢恶作剧的小恶魔，从黑暗中袭来。警惕！,cn
87796900,4013,守城的翼龙,守护山上城寨的龙。从天空俯冲下来攻击敌人。,cn
14181608,4014,蘑菇人,在潮湿的地方发挥力量！从蘑菇帽中吐丝攻击。,cn
40575313,4015,地狱亡灵,出现在荒野的野兽亡灵。数量多了也很棘手。,cn
87564352,4016,暗黑之龙王,黑暗深处栖息的龙。双眼不太好使。,cn
13069066,4017,剑龙,全身都附有刀刺的恐龙。以突进为手段进行攻击。,cn
40453765,4018,野蛮人2号,①：自己场上的「野蛮人1号」每有1只，这张卡的攻击力上升500。,cn
72842870,4019,大炮鸟,从口中发射远程炮弹，在深山里炮击威力强劲。,cn
18246479,4020,牛魔人,住在森林里的牛魔人，用突起的角进行突袭。,cn
45231177,4021,炎之剑士,「火焰操纵者」＋「传说的剑豪 正树」,cn
71625222,4022,时间魔术师,①：1回合1次，自己主要阶段才能发动。进行1次投掷硬币，对里表作猜测。猜中的场合，对方场上的怪兽全部破坏。猜错的场合，自己场上的怪兽全部破坏，自己受到表侧表示破坏的怪兽的攻击力合计数值一半的伤害。,cn
8124921,4023,被封印者的右足,被封印的右足。假若解开封印，能得无限之力。,cn
44519536,4024,被封印者的左足,被封印的左足。假若解开封印，能得无限之力。,cn
70903634,4025,被封印者的右腕,被封印的右腕。假若解开封印，能得无限之力。,cn
7902349,4026,被封印者的左腕,被封印的左腕。假若解开封印，能得无限之力。,cn
33396948,4027,被封印的艾克佐迪亚,这张卡和「被封印者的右腕」「被封印者的左腕」「被封印者的右足」「被封印者的左足」在手卡全部齐集时，自己决斗胜利。,cn
70781052,4028,恶魔召唤,使用黑暗力量，迷惑人心的恶魔。在恶魔族中以相当强大的力量著称。,cn
6285791,4029,邪恶蠕虫兽,①：自己结束阶段发动。场上的表侧表示的这张卡回到持有者手卡。,cn
32274490,4030,白骨,任何地方都能出现的骨头怪，能力虽弱，但成群攻击会很麻烦。,cn
69669405,4031,小鬼,住在黑暗的小鬼。攻击意外的强。要注意它头上的角。,cn
5053103,4032,牛头人,拥有惊人力量的牛形怪物。斧头一挥横扫一切。,cn
32452818,4033,路易斯,身体虽小，但在草原上具备高强的守备力。,cn
68846917,4034,岩窟魔人,岩石之躯成就高强的守备力。挥起巨腕时务必警惕。,cn
4931562,4035,山岳斗士,在处于不利的情况下也可以随意活动的强健战士。,cn
31339260,4036,不死战士,「白骨」＋「格斗战士 阿提米特」,cn
67724379,4037,恶魔龙,凶恶的龙。吐出邪恶的火焰使人变得邪恶。,cn
94119974,4038,双头恐龙王,恐龙族中的强力卡。用2个头同时攻击。,cn
30113682,4039,审判者,是个不喜欢比赛不分胜负的战士。棍棒的攻击很强！,cn
66602787,4040,暗道化师 扎奇,不知从哪里出现的道化师。用不可思议的动作来躲开攻击。,cn
46986414,4041,黑魔术师,作为魔法师，攻击力·守备力都是最高级别。,cn
29491031,4042,美杜莎的亡灵,头发满是毒蛇的怪兽。一旦被她的目光盯上，就会被石化。,cn
66889139,4043,龙骑士 盖亚,「暗黑骑士 盖亚」＋「诅咒之龙」,cn
6368038,4044,暗黑骑士 盖亚,乘坐跑得比风更快之马的骑士。要注意突进攻击。,cn
28279543,4045,诅咒之龙,邪恶之龙。使用黑暗力量的攻击强而有力。,cn
55763552,4046,壶魔人,反转：场上表侧表示的「龙族封印之壶」破坏。破坏时，场上表侧表示存在的龙族怪兽全部攻击表示。,cn
91152256,4047,精灵剑士,学会了剑术的精灵。以快速的攻击作弄敌人。,cn
